Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,31 Mar 2026 2:50 PM,31 Mar 2026 2:18 PM,GrabFood,,,Cancelled,,,,,001896066610-C74KG8JETKMHNJ,GF-487,A-95MGDCOGWROUAV,,Not Paid,Cashless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,We're closed right now,Merchant,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,31 Mar 2026 7:24 AM,31 Mar 2026 6:56 AM,GrabFood,,,Cancelled,,,,,001021834078-C74KCFAFVCAJBA,GF-248,A-95L7VG3GWCK8AV,,Not Paid,Cashless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,RESTAURANT_CLOSED,FAILED,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,30 Mar 2026 9:59 AM,30 Mar 2026 9:32 AM,GrabFood,Payment ,,Transferred,4637777846sp00000000000000000000,,,,001854762685-C74JGT3TJ4A3UE,GF-948,A-95HICXMWW3BHAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYCTUW581O5,31 Mar 2026 9:07 AM,14.7,0,0,,,,0,0,,0,0,14.7,,,,0,,,-4.45,0,0,0,0,10.25,,,,,-0.33,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,30 Mar 2026 8:43 AM,30 Mar 2026 7:49 AM,GrabFood,Payment ,,Transferred,4637628051sp00000000000000000000,,,,001536509324-C74JFAN2E6BBN2,GF-303F,A-95H9WK7WX3CIAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYCTUW581O5,31 Mar 2026 9:07 AM,149.1,0,0,,,,-4,0,,0,0,145.1,,,,0,,,-43.88,0,0,0,0,101.22,,,,,-3.25,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,29 Mar 2026 12:32 PM,29 Mar 2026 11:45 AM,GrabFood,Payment ,,Transferred,4635227688sp00000000000000000000,,,,001398590286-C74HLZK3T3VVCA,GF-431,A-95DQOCEGWUWSAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMY0V5OZPZS2,30 Mar 2026 9:13 AM,49.6,0,0,,,,-4,0,,0,0,45.6,,,,0,,,-13.79,0,0,0,0,31.81,,,,,-1.02,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,29 Mar 2026 11:45 AM,29 Mar 2026 11:11 AM,GrabFood,Payment ,,Transferred,4635039055sp00000000000000000000,,,,0010583081-C74HLRDAGCJ1T2,GF-458,A-95DNIR3WWC5CAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMY0V5OZPZS2,30 Mar 2026 9:13 AM,57.9,0,0,,,,-4,0,,0,0,53.9,,,,0,,,-16.3,0,0,0,0,37.6,,,,,-1.21,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,29 Mar 2026 11:06 AM,29 Mar 2026 10:22 AM,GrabFood,Payment ,,Transferred,4634919386sp00000000000000000000,,,,001196089161-C74HLCL3RYABRJ,GF-728,A-95DJ56VWXDRAAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMY0V5OZPZS2,30 Mar 2026 9:13 AM,24.7,0,0,,,,0,0,,0,0,24.7,,,,0,,,-7.47,0,0,0,0,17.23,,,,,-0.55,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,29 Mar 2026 9:37 AM,29 Mar 2026 9:01 AM,GrabFood,Payment ,,Transferred,4634743873sp00000000000000000000,,,,001370650546-C74HJ2EZTN3DJT,GF-881,A-95DBNOKGXDRAAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMY0V5OZPZS2,30 Mar 2026 9:13 AM,33.96,0,0,,,,0,0,,0,0,33.96,,,,0,,,-10.27,0,0,0,0,23.69,,,,,-0.76,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,29 Mar 2026 7:40 AM,29 Mar 2026 7:14 AM,GrabFood,Payment ,,Transferred,4634568548sp00000000000000000000,,,,001414477130-C74HHFXTE8LYGT,GF-573M,A-95DXUUCWWMHPAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMY0V5OZPZS2,30 Mar 2026 9:13 AM,4,0,0,,,,0,0,,0,0,4,,,,0,,,-1.21,0,0,0,0,2.79,,,,,-0.09,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,28 Mar 2026 2:42 PM,28 Mar 2026 2:10 PM,GrabFood,Payment ,,Transferred,4632710620sp00000000000000000000,,,,0016661600-C74GSAUVNA3UEA,GF-261,A-95A462SWX9D2AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYZQX392YWT,29 Mar 2026 7:35 AM,26.93,0,0,,,,0,0,,0,0,26.93,,,,0,,,-8.14,0,0,0,0,18.79,,,,,-0.6,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,28 Mar 2026 12:41 PM,28 Mar 2026 11:58 AM,GrabFood,Payment ,,Transferred,4632232060sp00000000000000000000,,,,0012930754-C74GRA2KEZCUT6,GF-326,A-959O36JWWMUPAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYZQX392YWT,29 Mar 2026 7:35 AM,24.8,0,0,,,,0,0,,0,0,24.8,,,,0,,,-7.5,0,0,0,0,17.3,,,,,-0.56,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,28 Mar 2026 12:09 PM,28 Mar 2026 11:10 AM,GrabFood,Payment ,,Transferred,4632097467sp00000000000000000000,,,,001119748017-C74GN7AZVREGC2,GF-835,A-959JLVAGXX4FAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYZQX392YWT,29 Mar 2026 7:35 AM,22.8,0,0,,,,0,0,,0,0,22.8,,,,0,,,-6.89,0,0,0,0,15.91,,,,,-0.51,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,28 Mar 2026 11:04 AM,28 Mar 2026 10:09 AM,GrabFood,Payment ,,Transferred,4631864979sp00000000000000000000,,,,001531297702-C74GNP5XUEAKEE,GF-174,A-959E44MGXA9RAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYZQX392YWT,29 Mar 2026 7:35 AM,60.15,0,0,,,,-4,0,,0,0,56.15,,,,0,,,-16.98,0,0,0,0,39.17,,,,,-1.26,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,28 Mar 2026 8:28 AM,28 Mar 2026 7:03 AM,GrabFood,Payment ,,Transferred,4631537135sp00000000000000000000,,,,001015571409-C74GLKTTGPJVSE,GF-468F,A-958T3W3WW3JCAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYZQX392YWT,29 Mar 2026 7:35 AM,63.9,0,0,,,,-4,0,,0,0,59.9,,,,0,,,-18.11,0,0,0,0,41.79,,,,,-1.34,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,28 Mar 2026 8:21 AM,28 Mar 2026 7:27 AM,GrabFood,Payment ,,Transferred,4631529162sp00000000000000000000,,,,001499107205-C74GLTB1JUUDNT,GF-987,A-958V8LRWX8KEAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYZQX392YWT,29 Mar 2026 7:35 AM,27.7,0,0,,,,0,0,,0,0,27.7,,,,0,,,-8.38,0,0,0,0,19.32,,,,,-0.62,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,27 Mar 2026 12:31 PM,27 Mar 2026 11:57 AM,GrabFood,Payment ,,Transferred,4629070476sp00000000000000000000,,,,001831775-C74FTRCER33GT2,GF-829,A-955K59SWWUNIAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYJNXB44ZCV,28 Mar 2026 9:02 AM,13.5,0,0,,,,0,0,,0,0,13.5,,,,0,,,-4.08,0,0,0,0,9.42,,,,,-0.3,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,27 Mar 2026 12:17 PM,27 Mar 2026 11:36 AM,GrabFood,Payment ,,Transferred,4629003635sp00000000000000000000,,,,00104299443-C74FTKNVJ6KYCJ,GF-678,A-955I854GWJL3AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYJNXB44ZCV,28 Mar 2026 9:02 AM,20.7,0,0,,,,0,0,,0,0,20.7,,,,0,,,-6.26,0,0,0,0,14.44,,,,,-0.46,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,27 Mar 2026 11:05 AM,27 Mar 2026 10:25 AM,GrabFood,Payment ,,Transferred,4628710251sp00000000000000000000,,,,001642437692-C74FSA21FFTXT2,GF-403,A-955BND4GW72IAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYJNXB44ZCV,28 Mar 2026 9:02 AM,27.6,0,0,,,,0,0,,0,0,27.6,,,,0,,,-8.35,0,0,0,0,19.25,,,,,-0.62,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,27 Mar 2026 7:39 AM,27 Mar 2026 6:48 AM,GrabFood,Payment ,,Transferred,4628309958sp00000000000000000000,,,,001775324699-C74FNXXBFFNVCN,GF-943,A-954NQSBWXFV7AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYJNXB44ZCV,28 Mar 2026 9:02 AM,26.5,0,0,,,,0,0,,0,0,26.5,,,,0,,,-8.01,0,0,0,0,18.49,,,,,-0.59,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 1:44 PM,26 Mar 2026 1:03 PM,GrabFood,Payment ,,Transferred,4626274936sp00000000000000000000,,,,001171230189-C74FAE6VAU5ENJ,GF-306,A-95XMB9FG32TAAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,37.26,0,0,,,,0,0,,0,0,37.26,,,,0,,,-11.27,0,0,0,0,25.99,,,,,-0.83,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 11:22 AM,26 Mar 2026 10:45 AM,GrabFood,Payment ,,Transferred,4625637139sp00000000000000000000,,,,001973181508-C74EVNLGRJ6FGX,GF-993M,A-95X9OM8G37K5AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,4.8,0,0,,,,0,0,,0,0,4.8,,,,0,,,-1.45,0,0,0,0,3.35,,,,,-0.11,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 10:27 AM,26 Mar 2026 9:47 AM,GrabFood,Payment ,,Transferred,4625493565sp00000000000000000000,,,,001395174354-C74EUFUCVEM1R6,GF-890,A-95X4CK4GWDJOAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,24.7,0,0,,,,0,0,,0,0,24.7,,,,0,,,-7.47,0,0,0,0,17.23,,,,,-0.55,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 9:06 AM,26 Mar 2026 7:50 AM,GrabFood,Payment ,,Transferred,4625320331sp00000000000000000000,,,,001895591372-C74ETKVUAYUBLA,GF-495F,A-95WPO6KWX862AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,85.4,0,0,,,,-4,0,,0,0,81.4,,,,0,,,-24.61,0,0,0,0,56.79,,,,,-1.82,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 8:05 AM,26 Mar 2026 7:35 AM,GrabFood,Payment ,,Transferred,4625237320sp00000000000000000000,,,,001355526155-C74ETF43N8CURE,GF-319,A-95WOCLRWWAN6AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,18.3,0,0,,,,0,0,,0,0,18.3,,,,0,,,-5.53,0,0,0,0,12.77,,,,,-0.41,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,26 Mar 2026 7:48 AM,26 Mar 2026 6:57 AM,GrabFood,Payment ,,Transferred,4625220507sp00000000000000000000,,,,00107315236-C74ESFCZNKXBAT,GF-166,A-95WKS7NWX7K5AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYQTJSQG2DG,27 Mar 2026 9:01 AM,27.65,0,0,,,,0,0,,0,0,27.65,,,,0,,,-8.36,0,0,0,0,19.29,,,,,-0.62,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 12:33 PM,25 Mar 2026 11:32 AM,GrabFood,Payment ,,Transferred,4622992250sp00000000000000000000,,,,001123066837-C74EBFK2TJNJLX,GF-155,A-94TA68OWWGRXAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,23.1,0,0,,,,0,0,,0,0,23.1,,,,0,,,-6.99,0,0,0,0,16.11,,,,,-0.52,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 11:59 AM,25 Mar 2026 11:21 AM,GrabFood,Payment ,,Transferred,4622849082sp00000000000000000000,,,,001037932546-C74EBCJXA3EUJE,GF-948,A-94T97OIGWJAEAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,22.8,0,0,,,,0,0,,0,0,22.8,,,,0,,,-6.89,0,0,0,0,15.91,,,,,-0.51,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 7:37 AM,25 Mar 2026 6:55 AM,GrabFood,Payment ,,Transferred,4622292849sp00000000000000000000,,,,001816072-C74DVLLFJPBTAJ,GF-313,A-94SGSXIGWJ3DAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,47.4,0,0,,,,-4,0,,0,0,43.4,,,,0,,,-13.12,0,0,0,0,30.28,,,,,-0.97,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,25 Mar 2026 7:23 AM,25 Mar 2026 6:53 AM,GrabFood,Payment ,,Transferred,4622284317sp00000000000000000000,,,,00130595926-C74DVLBTBAJ1JE,GF-904,A-94SGMDDGWFQEAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYBN81XSUEV,26 Mar 2026 9:06 AM,23.7,0,0,,,,0,0,,0,0,23.7,,,,0,,,-7.17,0,0,0,0,16.53,,,,,-0.53,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,23 Mar 2026 7:30 AM,23 Mar 2026 7:00 AM,GrabFood,Payment ,,Transferred,4617763177sp00000000000000000000,,,,0015873466-C74CEBCKRJVUFE,GF-042,A-94K9LDXWXWQXAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYX6R29FPMD,24 Mar 2026 9:03 AM,38.25,0,0,,,,-4,0,,0,0,34.25,,,,0,,,-10.36,0,0,0,0,23.89,,,,,-0.77,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,22 Mar 2026 1:10 PM,22 Mar 2026 12:48 PM,GrabFood,Payment ,,Transferred,4616501127sp00000000000000000000,,,,001457664353-C74BLVJZL6TAV6,GF-425M,A-94H5LHHGXW9DAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYYEB4VA6KR,23 Mar 2026 8:58 AM,16.6,0,0,,,,0,0,,0,0,16.6,,,,0,,,-5.02,0,0,0,0,11.58,,,,,-0.37,0,,,,,,,,,
Restoran Desa Steamboat,6e97a62f-49f8-429d-afed-748e2cacda7e,Restoran Desa Petaling - Desa Petaling [Non-Halal],542be112-bf93-4d27-ab24-52008e7f9ce5,22 Mar 2026 10:29 AM,22 Mar 2026 10:07 AM,GrabFood,Payment ,,Transferred,4616221801sp00000000000000000000,,,,0017640493-C74BJXWFV6DBTA,GF-222M,A-94GMUAFWXFQSAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SMYYEB4VA6KR,23 Mar 2026 8:58 AM,4.8,0,0,,,,0,0,,0,0,4.8,,,,0,,,-1.45,0,0,0,0,3.35,,,,,-0.11,0,,,,,,,,,
